,text,character
0,(Opens ring) Will you marry me.,Marshall
1,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have sex on the kitchen floor... Don't have sex on our kitchen floor.",Ted
2,"Got it. Thanks for helping me plan this out, Ted.",Marshall
3,"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",Ted
4,"(laughs) yeah, sorry. We thought you were asleep.",Marshall
5,"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",Ted
6,"Yeah, what are you doing tonight?",Marshall
7,"(on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.",Barney
8,"Hey, you wanna do something tonight?",Ted
9,"Okay, meet me at the bar in fifteen minutes, and Suit up!</p><h",Barney
10,Hey.,Ted
11,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Barney
12,I did that one time.,Ted
13,It was a blazer!,Barney
14,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call &quot;Uncle Ted&quot;.",Ted
15,I see what this is about. Have you forgotten what I said to you the night we met?,Barney
16,"Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal.",Barney
17,"Oh, right. Hi.",Ted
18,"Lesson one, lose the goatee. It doesn't look good with your suit.",Barney
19,I'm not wearing a suit.,Ted
20,"Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty.",Barney
21,"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",Ted
22,"I thought I was your best friend. Ted, say I'm your best friend.",Barney
23,"You're my best friend, Barney.",Ted
24,"Good! And as your best friend, I suggest we play a little game called... &quot;Have you met Ted?&quot;",Barney
25,"Wai-no, no, no. We're not playing &quot;Have You Met Ted?&quot;",Ted
26,"(Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance).",Barney
27,"(To Yasmine) Hi, I'm Ted.",Ted
28,It's a very pretty name.,Ted
29,Hey!,Marshall
30,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking?",Lily
31,"Yes, I am.",Marshall
32,Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,Lily
33,I can handle this; I'm full of surprises tonight.,Marshall
34,So there's more surprises? Like what?,Lily
35,BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves),Marshall
36,"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",Ted
